stcofips,year,month,month_t,deviation
51157,2022,12,7,248196.1184096778
51157,2022,12,8,249058.394948778
51157,2022,12,9,257881.8766745355
51157,2022,12,10,251945.73474014457
51157,2022,12,11,251478.68614637773
51157,2022,12,12,258535.98490010892
51157,2023,4,1,238141.33364056787
51157,2023,4,2,252504.55266659957
51157,2023,4,3,248196.1184096778
51157,2023,4,4,249058.394948778
51157,2023,4,5,257881.8766745355
51157,2023,4,6,251945.73474014457
51157,2023,4,7,251478.68614637773
51157,2023,4,8,258535.98490010892
51157,2023,4,9,250761.09398349992
51157,2023,4,10,257561.13742482907
51157,2023,4,11,259204.9881415252
51157,2023,4,12,263925.8162663819
51157,2023,6,1,248196.1184096778
51157,2023,6,2,249058.394948778
51157,2023,6,3,257881.8766745355
51157,2023,6,4,251945.73474014457
51157,2023,6,5,251478.68614637773
51157,2023,6,6,258535.98490010892
51157,2023,6,7,250761.09398349992
51157,2023,6,8,257561.13742482907
51157,2023,6,9,259204.9881415252
51157,2023,6,10,263925.8162663819
51157,2023,6,11,253417.8883848585
51157,2023,6,12,274009.61114604987
51157,2023,7,1,249058.394948778
51157,2023,7,2,257881.8766745355
51157,2023,7,3,251945.73474014457
51157,2023,7,4,251478.68614637773
51157,2023,7,5,258535.98490010892
51157,2023,7,6,250761.09398349992
51157,2023,7,7,257561.13742482907
51157,2023,7,8,259204.9881415252
51157,2023,7,9,263925.8162663819
51157,2023,7,10,253417.8883848585
51157,2023,7,11,274009.61114604987
51157,2023,7,12,298491.7052676995
51157,2023,8,1,257881.8766745355
51157,2023,8,2,251945.73474014457
51157,2023,8,3,251478.68614637773
51157,2023,8,4,258535.98490010892
51157,2023,8,5,250761.09398349992
51157,2023,8,6,257561.13742482907
51157,2023,8,7,259204.9881415252
51157,2023,8,8,263925.8162663819
51157,2023,8,9,253417.8883848585
51157,2023,8,10,274009.61114604987
51157,2023,8,11,298491.7052676995
51157,2023,8,12,281012.5163537848
51157,2023,9,1,251945.73474014457
51157,2023,9,2,251478.68614637773
51157,2023,9,3,258535.98490010892
51157,2023,9,4,250761.09398349992
51157,2023,9,5,257561.13742482907
51157,2023,9,6,259204.9881415252
51157,2023,9,7,263925.8162663819
51157,2023,9,8,253417.8883848585
51157,2023,9,9,274009.61114604987
51157,2023,9,10,298491.7052676995
51157,2023,9,11,281012.5163537848
51157,2023,9,12,275791.9080649374
51157,2024,7,1,281012.5163537848
51157,2024,7,2,275791.9080649374
51157,2024,7,3,280718.9858493688
51157,2024,7,4,274157.7111517758
51157,2024,7,5,278608.71202705766
51157,2024,7,6,277133.2413361062
51157,2024,7,7,265788.0036439654
51157,2024,7,8,275677.87798317795
51157,2024,7,9,263487.7524557738
51157,2024,7,10,278629.7059510398
51157,2024,7,11,286269.6534369169
51157,2024,7,12,294292.6144573428
51157,2024,8,1,275791.9080649374
51157,2024,8,2,280718.9858493688
51157,2024,8,3,274157.7111517758
51157,2024,8,4,278608.71202705766
51157,2024,8,5,277133.2413361062
51157,2024,8,6,265788.0036439654
51157,2024,8,7,275677.87798317795
51157,2024,8,8,263487.7524557738
51157,2024,8,9,278629.7059510398
51157,2024,8,10,286269.6534369169
