target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips
20051,2025,6,5,"20089,20123,20183,20147,20183"
12075,2020,2,1,12053
47141,2021,3,2,"47137,47137"
16043,2021,8,4,"30023,30043,30059,30043"
31073,2022,9,1,31099
21035,2024,2,4,"21139,21143,21033,21143"
55131,2022,11,3,"55047,55047,26105"
17187,2022,6,1,19115
19057,2021,12,2,"19183,19183"
29075,2020,7,3,"20043,29117,19145"
55119,2023,10,4,"55005,55035,55035,55005"
47113,2021,3,3,"47183,47183,28009"
37147,2025,4,2,"37187,37187"
17021,2022,6,1,17039
29061,2020,8,3,"29033,29177,29033"
41043,2022,4,13,"41041,41013,41035,41037,41013,41065,41019,41035,41041,41065,41071,41041,41071"
20071,2025,4,4,"08011,08025,08089,08011"
06065,2023,1,2,"04027,04027"
48387,2023,10,3,"40005,40013,40013"
38093,2023,8,2,"38083,38083"
45041,2022,5,2,"45043,45043"
17167,2021,3,1,17083
22095,2021,3,7,"22007,22047,22007,22007,28045,28005,28113"
47147,2021,7,1,47083
19091,2021,8,5,"19021,19041,19059,19021,19041"
45063,2021,6,2,"45011,45011"
21149,2020,6,1,21055
40123,2023,5,2,"40005,40005"
35001,2022,8,2,"35028,35028"
48321,2025,6,1,48285
19141,2024,7,4,"19093,19151,19093,19151"
47007,2024,5,5,"13047,47121,47121,47177,47177"
41053,2024,12,3,"41065,41007,41009"
29015,2024,4,5,"29101,29053,29053,29101,29107"
50019,2020,5,1,50017
51017,2025,4,3,"51580,51530,51678"
21177,2021,7,1,21091
05085,2023,4,1,05107
13171,2022,6,2,"13159,13159"
01067,2023,5,1,13259
55025,2023,3,3,"55047,55077,55047"
42099,2022,6,2,"42087,42093"
47069,2022,2,6,"28141,47033,47097,47017,47033,47053"
25021,2020,6,2,"44001,44001"
27003,2025,6,2,"27065,27065"
06065,2021,8,2,"04027,04027"
39025,2023,7,3,"21161,21201,21161"
06059,2022,12,4,"04012,06025,04012,06025"
01121,2024,5,1,13143
46059,2022,7,3,"46077,46015,46015"
48335,2022,6,3,"48115,48433,48115"
48067,2022,5,2,"05081,05081"
23025,2020,4,3,"23029,23023,23029"
33019,2020,5,2,"50017,50017"
26133,2023,7,6,"26111,26143,26111,26105,26143,26105"
31175,2020,7,3,"31011,31003,31011"
48237,2022,10,1,48487
56041,2024,7,2,"49009,49009"
08095,2024,4,2,"31085,31085"
01019,2024,8,2,"13143,13143"
28107,2022,5,5,"28013,28027,28027,28027,28013"
29181,2024,11,1,29207
51710,2023,12,2,"51735,51735"
08077,2020,8,4,"08053,08109,08065,49007"
05075,2020,9,4,"29069,29069,05065,05065"
51053,2024,8,4,"51570,51670,51670,51570"
17145,2020,3,2,"17121,17121"
30063,2021,8,10,"16061,16003,16061,41063,30073,30023,30023,30043,30023,16017"
