target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips,target_zhvi_t0,baseline_mean_zhvi_t0
06067,2021,10,18,"32510,32029,04012,06069,32001,06045,04027,06025,06033,35028,06079,32027,06075,06021,06013,06055,06085,04011",709529.8055062979,918117.5377595539
51179,2023,12,43,"51770,18111,18181,42053,42023,18149,42009,39021,39085,18045,21139,21107,51570,51580,51678,21143,51600,51660,21061,39103,39003,39151,51520,21201,42057,39173,51683,18115,54067,51840,51735,51530,21023,39123,39169,21157,54093,51790,51685,51670,51063,54073,39007",666083.2481541039,360060.9026935496
17165,2023,5,82,"46101,20209,19093,17069,29155,27009,38081,38063,38019,27117,17033,46099,27161,19079,29221,31147,27095,27013,46023,38027,38083,19129,27151,46045,38039,19021,17173,46015,27011,17015,29003,19143,19165,17175,17035,31139,31043,38003,31173,27159,46027,17023,19145,27173,46125,19189,29069,19035,46067,46011,19115,19059,27063,29186,19119,46127,46087,17051,19141,46083,31003,29135,31159,38029,17147,46135,38095,27041,17159,27133,19195,19167,27081,27105,27153,19149,46079,46005,31091,29123,19133,46035",173944.80475379888,375904.5524760176
27123,2022,8,63,"46101,19185,29033,29135,31149,46077,19093,46023,17069,31099,27103,31125,27155,17147,19071,46027,17071,19041,29151,46135,19145,31153,27101,46129,46125,31025,19021,27133,27033,19035,19167,46067,19193,27105,27081,29117,17013,19149,27117,31051,46099,19115,19197,46079,46005,46015,19059,27063,29177,46009,29123,31091,19119,19143,46127,46087,31147,19141,46035,27083,31143,46083,31043",481541.20337895927,396387.3650274373
17003,2020,1,57,"17079,29033,31011,17169,31119,27075,31133,17017,31067,29211,31027,17121,31155,31127,31095,31037,19071,31141,31151,31109,20033,19145,31167,31153,31097,27071,17083,19129,31025,29103,29205,19155,19067,31177,29089,29117,17129,17013,31039,19085,20043,31131,29177,29041,31021,19165,19079,31023,19137,29129,31147,31077,19133,19009,31107,31139,31003",152337.83350826966,295217.8463287761
53045,2025,2,48,"53019,53073,53053,53067,41023,53061,53055,53075,53039,53015,53023,53001,53017,53013,53071,41019,53065,41061,53059,41021,41013,53049,41027,41065,53041,41049,41009,53007,53003,41007,53077,41055,53005,53047,53033,53037,41069,53029,41041,41063,53035,53025,53057,41037,41033,53051,53043,53021",687962.0560365673,691262.0524070036
01049,2021,3,47,"13265,47105,13317,13209,37179,37199,47095,37113,13259,13023,13283,37137,13281,13231,37181,13021,28113,37121,47171,13037,13309,13279,37087,47091,47183,13197,28027,37073,37007,37043,28045,13301,13031,13227,12037,47163,28009,28147,13141,12055,47137,45011,28135,37075,13053,28005,12027",284775.62591548736,318922.94706303667
53047,2021,7,40,"53019,53053,41015,53067,41023,53045,41001,53039,53001,41035,41019,53065,53059,41021,41027,41065,41071,41049,53063,53007,53003,53077,41055,53005,53037,53027,53033,41069,41011,41031,53029,41063,53035,53025,41037,53031,53051,41033,53043,53021",528327.6968723305,608973.8521025345
21047,2020,7,20,"21223,21055,21143,21063,51600,51520,51195,21159,51610,51720,51840,18009,51735,18131,18075,21027,18135,51685,21005,21221",210489.05448923,320342.679203514
36051,2024,6,9,"25019,36085,36047,36005,23023,34031,36081,25025,34001",361634.6069732728,1496335.362467444
