stcofips,year,month,tier,month_t,deviation
06005,2021,10,mid,-3,0.09473170108968532
06005,2023,1,mid,-1,0.5844779682342534
06005,2023,1,mid,-2,1.2476244159333305
06005,2023,1,mid,-3,1.7380619097547623
06005,2025,2,mid,-1,0.03388604003060891
06005,2025,2,mid,-2,0.247879563813882
06005,2025,2,mid,-3,0.6164261893564742
06007,2020,11,mid,-1,0.07959663217197033
06007,2020,11,mid,-2,0.09703887888409213
06007,2020,11,mid,-3,0.12639536444640953
06009,2020,11,mid,-1,-0.8382914969927526
06009,2020,11,mid,-2,-1.4116422230844137
06009,2020,11,mid,-3,-1.5882439146883485
06009,2021,10,mid,-1,0.08119718091813866
06009,2021,10,mid,-2,-0.26410850212779735
06009,2021,10,mid,-3,-0.770500341497069
06009,2025,2,mid,-1,-0.11424918172258458
06009,2025,2,mid,-2,-0.1376998759622836
06009,2025,2,mid,-3,-0.03779686166990359
06011,2021,10,mid,-1,0.3285143390135943
06011,2021,10,mid,-2,0.697800687723614
06011,2021,10,mid,-3,0.8702534387121119
06011,2023,1,mid,-1,0.3488168104138083
06011,2023,1,mid,-2,0.5616953258233082
06011,2023,1,mid,-3,0.49845843527953093
06013,2020,8,mid,-1,0.23734077962522804
06013,2020,8,mid,-2,0.603586404368869
06013,2020,8,mid,-3,0.9237190918719449
06013,2024,12,mid,-1,0.2809325629381334
06013,2024,12,mid,-2,0.6068128260164656
06013,2024,12,mid,-3,1.119416203087539
06015,2021,10,mid,-1,-0.7090343618402528
06015,2021,10,mid,-2,-1.4614255533009413
06015,2021,10,mid,-3,-2.248077932605412
06015,2022,11,mid,-1,0.35591757455947004
06015,2022,11,mid,-2,0.7751381283810446
06015,2022,11,mid,-3,0.9655461387663706
06015,2024,1,mid,-1,-0.0001936604206349557
06015,2024,1,mid,-2,0.21803387432049703
06015,2024,1,mid,-3,0.24985297546675156
06025,2020,3,mid,-1,0.7590787443917293
06025,2020,3,mid,-2,1.3953274135956377
06025,2020,3,mid,-3,1.5485761689097899
06025,2021,1,mid,-1,0.6016130540539706
06025,2021,1,mid,-2,1.444669440209978
06025,2021,1,mid,-3,2.02326107934023
06025,2024,8,mid,-1,-0.2575169218009705
06025,2024,8,mid,-2,-0.5744216715408186
06025,2024,8,mid,-3,-0.9125792062562823
06027,2021,7,mid,-1,1.0669414742753531
06027,2021,7,mid,-2,1.8222828700278626
06027,2021,7,mid,-3,2.1361864625008167
06031,2021,10,mid,-1,-0.269935509655312
06031,2021,10,mid,-2,-0.46174161036476846
06031,2021,10,mid,-3,-0.532873051455752
06031,2023,12,mid,-1,-0.46369944010743325
06031,2023,12,mid,-2,-0.740335977213249
06031,2023,12,mid,-3,-1.1441707554927376
06033,2024,11,mid,-1,0.20891924242314985
06033,2024,11,mid,-2,0.4247253681655536
06033,2024,11,mid,-3,0.8404456445030348
06035,2022,7,mid,-1,0.00401362042872222
06035,2022,7,mid,-2,0.36892232535016944
06035,2022,7,mid,-3,1.097453701850668
06035,2023,9,mid,-1,0.3736651040105414
06035,2023,9,mid,-2,0.5222773608063704
06035,2023,9,mid,-3,0.42006322384965245
06037,2020,8,mid,-1,-0.146606628033922
06037,2020,8,mid,-2,0.09579638034504967
06037,2020,8,mid,-3,0.6656140152281438
06037,2023,12,mid,-1,-0.7960214439542739
06037,2023,12,mid,-2,-1.7814567554574126
06037,2023,12,mid,-3,-3.005416243784353
06039,2021,10,mid,-1,-0.6115049620003958
06039,2021,10,mid,-2,-0.9388513278339019
06039,2021,10,mid,-3,-1.1193035155149005
06041,2021,12,mid,-1,0.4710403836392487
06041,2021,12,mid,-2,1.1524119922361962
06041,2021,12,mid,-3,2.0454436688589226
06041,2024,2,mid,-1,0.7298918365991938
06041,2024,2,mid,-2,1.55590873074226
06041,2024,2,mid,-3,1.9331187885980512
06041,2024,12,mid,-1,0.5126867302440274
06041,2024,12,mid,-2,0.9852151957572062
06041,2024,12,mid,-3,1.466271481182872
06047,2021,1,mid,-1,-0.2917189078643503
06047,2021,1,mid,-2,-0.5464065533252125
06047,2021,1,mid,-3,-0.706715716670999
06047,2021,12,mid,-1,-0.45054242774341446
06047,2021,12,mid,-2,-1.0155702016734125
06047,2021,12,mid,-3,-1.6286533997561463
06047,2023,8,mid,-1,-0.6998273090773353
06047,2023,8,mid,-2,-1.5011505363753912
06047,2023,8,mid,-3,-1.8911062391560307
06049,2021,10,mid,-1,-0.047659977116040864
06049,2021,10,mid,-2,0.3726366862935322
06049,2021,10,mid,-3,0.7005118369864363
06049,2025,3,mid,-1,-0.17369569323463452
06049,2025,3,mid,-2,-0.5818559119983604
06049,2025,3,mid,-3,-1.1719566288833363
06051,2022,7,mid,-1,-0.6541535565672234
06051,2022,7,mid,-2,-1.7419861812875723
06051,2022,7,mid,-3,-2.550302547878644
06053,2021,12,mid,-1,0.05932543440007976
06053,2021,12,mid,-2,-0.009649161352101032
06053,2021,12,mid,-3,-0.09927947664706949
06053,2024,12,mid,-1,0.11315745742595595
06053,2024,12,mid,-2,0.26489093411382214
06053,2024,12,mid,-3,0.49535195590021885
06055,2021,1,mid,-1,-0.03209580261342637
06055,2021,1,mid,-2,-0.3417732109692935
06055,2021,1,mid,-3,-0.6349118839220012
06055,2024,2,mid,-1,0.3248487311507091
06055,2024,2,mid,-2,0.6044539455917146
06055,2024,2,mid,-3,0.7657600265190752
06055,2024,12,mid,-1,0.28372816846244575
06055,2024,12,mid,-2,0.8321884553068912
06055,2024,12,mid,-3,1.4453087560975604
06059,2023,8,mid,-1,-1.6812649109111675
06059,2023,8,mid,-2,-3.2275088944927575
06059,2023,8,mid,-3,-4.31913282001635
06061,2021,10,mid,-1,-0.06363891029607771
06061,2021,10,mid,-2,-0.11325012638127419
06061,2021,10,mid,-3,-0.24869735162337747
06063,2020,7,mid,-1,0.09875097058161941
06063,2020,7,mid,-2,0.34356505621575195
06063,2020,7,mid,-3,0.9105952041872314
06069,2021,1,mid,-1,-0.33447060367826964
06069,2021,1,mid,-2,-0.7327666177271794
06069,2021,1,mid,-3,-1.1209396551939363
06069,2024,2,mid,-1,-0.14262741351573993
06069,2024,2,mid,-2,-0.3084410094808163
06069,2024,2,mid,-3,-0.32024334448983893
06075,2021,3,mid,-1,1.5105423744066115
06075,2021,3,mid,-2,2.9898123810354065
06075,2021,3,mid,-3,4.313022547495194
06075,2024,12,mid,-1,0.03793276396663714
06075,2024,12,mid,-2,0.21101268398209072
06075,2024,12,mid,-3,0.5877752951693225
06077,2020,5,mid,-1,-0.08176161881715416
06077,2020,5,mid,-2,-0.15326583854357523
06077,2020,5,mid,-3,-0.07836222490306
