target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips
40081,2021,6,23,"22099,48163,40035,48247,22007,22125,40033,22077,22121,22047,05101,05035,48379,40103,22003,22027,22093,48461,40003,05123,48507,48483,40029"
50025,2023,12,4,"25019,25025,23023,09007"
12049,2022,4,63,"13147,47083,13149,47053,28137,47051,28045,47017,12051,47005,45043,47087,13125,12027,13157,28065,13053,13249,28091,12043,13059,13111,13309,28037,13037,01039,47033,37199,01107,13195,13317,47027,28057,13159,13013,01131,47111,13291,13137,47097,13307,13259,13011,13219,28013,47039,37099,13247,37185,47109,28063,28139,13301,13281,13221,13319,28077,28027,45033,13133,37141,28141,45089"
13015,2021,6,42,"28113,47083,37043,28045,28005,47105,13269,37121,12027,13053,13021,47137,13141,28147,13031,13309,13037,13231,47183,13279,37199,13317,37087,47159,45011,47171,13209,13259,13283,37113,37075,13265,13301,13281,28135,28009,37181,13023,28027,13107,37073,13197"
51011,2022,6,28,"18109,42077,18157,42095,51600,51610,51167,42087,51775,54049,18171,51720,51735,51595,42043,18159,51540,51678,21189,54009,42025,51520,51660,39005,42093,18119,51740,18021"
19189,2024,6,80,"17199,19069,27065,19151,31103,27091,31095,31121,31011,29101,31097,17017,19145,20107,27173,31017,17005,29211,27029,27095,29075,31167,27073,27087,29083,17059,29173,20097,38083,31085,46097,27125,17145,27079,29053,38099,31115,29061,31039,38045,31073,27041,31053,31091,20123,31183,29175,31171,38089,29129,27031,38095,17151,31117,31071,27009,38031,27071,27127,38093,27149,38065,17033,29079,17069,31173,27121,20083,27023,17123,19093,29089,17013,29033,29157,29003,29041,20141,29107,17003"
51670,2022,6,28,"18109,42077,18157,42095,51600,51610,51167,42087,51775,54049,18171,51720,51735,51595,42043,18159,51540,51678,21189,54009,42025,51520,51660,39005,42093,18119,51740,18021"
12087,2023,9,97,"13097,12081,13035,28019,13151,28005,13055,13269,13009,13125,12027,13157,13085,13227,12053,13289,13129,13053,13021,13271,12043,13141,13207,13115,37177,13315,13167,28111,13111,13309,13143,28125,13079,13083,47061,28015,13045,13279,47033,13225,13261,13163,13015,13175,13195,13121,13317,28131,47023,13159,13013,37091,01131,13169,13291,13171,13123,13307,28117,12055,13311,13209,13259,13011,13283,28143,13117,47095,13047,13313,13303,28063,13213,13293,47135,13063,13193,13265,13301,28161,28083,13281,28041,28135,13211,28107,13319,12049,28077,13023,28027,13187,13133,47075,28011,13107,13199"
29105,2020,8,41,"19079,31011,31097,29195,17169,31107,19145,31003,20043,29117,31139,19009,19155,31167,31131,31153,31109,20005,19085,29103,19137,31039,19129,31067,19003,17079,19133,17083,19165,17035,31025,27071,20033,31133,31077,17101,17013,29033,29041,29177,19001"
17037,2024,8,97,"17199,31181,27065,27091,17139,31121,31011,29101,29085,31083,31079,20107,31129,27173,31175,29211,27029,31093,19031,29075,31047,31019,31167,27073,20183,27087,29083,17059,29173,20097,38083,46097,27125,17145,27079,29105,31059,29053,20089,38099,29061,31039,38045,31073,27041,31125,31163,20123,31183,29175,31171,38089,31035,29129,31099,38095,31169,17151,31117,31061,29073,17165,27009,38031,27071,27127,38093,20163,27149,38065,31185,17047,19087,29079,17069,29151,31173,20147,27121,31143,31077,31137,17123,19093,31065,29089,17013,29033,31001,31081,29157,29003,29041,20141,31113,29107,17003"
37137,2020,4,12,"13017,37121,12027,47069,13059,37199,12055,13283,13281,28009,12049,45089"
05015,2023,6,33,"40093,05065,40053,48243,40043,48391,05111,40005,05077,05039,48175,22037,05055,22065,22107,22075,22121,48211,22123,05035,40103,48011,48007,48045,40003,05021,05123,05107,05011,05003,48481,40129,22025"
