,nri_id,stateabbrv,county,risk_value,eal_valt,sovi_score,resl_score,crf_value,year
5904,C28145,MS,Union,2115390.537751595,2098959.4181169113,34.37130469057942,55.011602,1.0078282216858794,2021
5905,C28145,MS,Union,5493866.502977667,4069697.3095925325,71.38999938964844,44.75,1.3499447465118053,2023
5906,C28145,MS,Union,14369857.10294715,10500824.610442005,74.42748092,46.85114503816794,1.368450349,2025
5907,C28147,MS,Walthall,5688086.097605496,5307459.47965,33.9771383524,51.1484,1.0717154072329529,2020
5908,C28147,MS,Walthall,3832477.8635002794,3576021.9901991524,33.97713835238471,51.148399999999995,1.0717154072329529,2021
5909,C28147,MS,Walthall,6115886.490189597,4465192.76746601,86.47000122070312,9.899999618530273,1.3696802822827185,2023
5910,C28147,MS,Walthall,8965459.112598006,7030444.262929477,62.81806616,16.889312977099237,1.275233652,2025
5911,C28149,MS,Warren,11076091.360135607,9233320.06679,42.0181316516,57.238998,1.1995784051690797,2020
5912,C28149,MS,Warren,10025837.793663828,8357801.166194463,42.018131651556956,57.238998,1.1995784051690797,2021
5913,C28149,MS,Warren,16822316.461483367,12177877.660031246,94.05000305175781,68.11000061035156,1.381383269820121,2023
5914,C28149,MS,Warren,63394025.23247246,42517338.82159552,88.58142494,81.07506361323156,1.49101583,2025
5915,C28151,MS,Washington,17900677.81107637,10537095.2775,56.6417027986,54.071598,1.698824708295077,2020
5916,C28151,MS,Washington,13933960.783176862,8202118.037923314,56.64170279858101,54.071597999999994,1.698824708295077,2021
5917,C28151,MS,Washington,26110909.094972715,16435088.693546334,99.48999786376953,30.520000457763672,1.588729430174955,2023
5918,C28151,MS,Washington,51955362.61917326,30004362.46650831,99.04580153,44.592875318066156,1.73159362,2025
5919,C28153,MS,Wayne,6097831.345462865,5058068.53699,36.4998029168,49.5014,1.205565187752797,2020
5920,C28153,MS,Wayne,6398842.245127821,5307753.002602389,36.499802916830895,49.501400000000004,1.205565187752797,2021
5921,C28153,MS,Wayne,11551213.546715634,8398188.75499526,90.80000305175781,17.920000076293945,1.3754410485052444,2023
5922,C28153,MS,Wayne,19384079.12788627,12902151.54831588,83.11068702,25.731552162849873,1.502391214,2025
5923,C28155,MS,Webster,2647929.748104749,2399279.01492,36.2238864801,53.098798,1.10363560537916,2020
5924,C28155,MS,Webster,1565984.484423662,1418932.5505547272,36.223886480094606,53.098798,1.10363560537916,2021
5925,C28155,MS,Webster,2500905.8144143657,2053173.355597816,50.91999816894531,31.799999237060547,1.2180685121379753,2023
5926,C28155,MS,Webster,5674304.838191458,3907411.2188827973,81.67938931,46.024173027989825,1.452190343,2025
5927,C28157,MS,Wilkinson,5842866.072288751,3891936.68213,44.8167126527,50.892802,1.5012746993332469,2020
5928,C28157,MS,Wilkinson,1831981.4775949856,1220283.9882725086,44.81671265273946,50.892802,1.5012746993332469,2021
5929,C28157,MS,Wilkinson,4048917.9001343297,2643758.02225235,91.91999816894531,4.869999885559082,1.5315009414836134,2023
5930,C28157,MS,Wilkinson,11202318.249203699,6168844.005393242,99.58651399,21.501272264631044,1.815950969,2025
5931,C28159,MS,Winston,7825726.524970836,5407325.96635,46.9846275128,55.1228,1.4472451954386765,2020
5932,C28159,MS,Winston,5469721.2701930795,3779401.919890392,46.984627512810405,55.1228,1.4472451954386765,2021
5933,C28159,MS,Winston,6560905.425301814,4326160.344176601,91.33999633789062,26.959999084472656,1.5165654768514025,2023
5934,C28159,MS,Winston,12966313.068952117,7653338.254043895,96.66030534,39.408396946564885,1.69420358,2025
5935,C28161,MS,Yalobusha,3096966.8866154356,2242181.53401,44.4225463145,54.5646,1.3812293249408338,2020
5936,C28161,MS,Yalobusha,2029415.5981902326,1469282.1543425922,44.42254631454474,54.5646,1.3812293249408338,2021
5937,C28161,MS,Yalobusha,2958802.220939206,2227906.04635189,73.6500015258789,31.600000381469727,1.328064181963207,2023
5938,C28161,MS,Yalobusha,7482882.48102123,5451536.273657378,73.40966921,32.31552162849873,1.372619039,2025
5939,C28163,MS,Yazoo,7053980.176837613,5395709.74419,40.2837997635,51.446,1.3073312893513607,2020
5940,C28163,MS,Yazoo,7335178.7136274595,5610803.300873222,40.2837997635002,51.44599999999999,1.3073312893513607,2021
5941,C28163,MS,Yazoo,12874746.473492792,8143978.512111322,99.83999633789062,7.449999809265137,1.5808915082899722,2023
5942,C28163,MS,Yazoo,31001734.67137884,18921488.178650472,91.18956743,20.260814249363868,1.638440612,2025
5943,C29001,MO,Adair,3953027.464140372,3347169.5702,40.5991328341,56.118398,1.181006035467803,2020
5944,C29001,MO,Adair,3847703.5176736712,3257988.0221776976,40.59913283405597,56.118398,1.181006035467803,2021
5945,C29001,MO,Adair,6534910.755593394,5846171.988597192,49.68000030517578,59.79999923706055,1.1178102129632124,2023
5946,C29001,MO,Adair,9822659.290662799,11387960.585770592,17.77989822,73.91857506361323,0.862547707,2025
5947,C29003,MO,Andrew,3889266.891809225,4304772.68363,33.188805676,60.239,0.9034778785414519,2020
5948,C29003,MO,Andrew,3289441.0319704665,3640865.05059852,33.18880567599527,60.239,0.9034778785414519,2021
5949,C29003,MO,Andrew,6257243.064809583,6570732.623376213,4.199999809265137,71.31999969482422,0.9522900144420196,2023
5950,C29003,MO,Andrew,8105049.78762158,11378153.730911566,10.62340967,65.96692111959288,0.712334354,2025
5951,C29005,MO,Atchison,4337777.506137256,3197434.9755,44.4619629484,55.292,1.3566429151413577,2020
5952,C29005,MO,Atchison,3703294.505119035,2729748.8998666713,44.46196294836422,55.29200000000001,1.3566429151413577,2021
5953,C29005,MO,Atchison,3641971.4482591962,3261366.345399692,12.949999809265137,66.7699966430664,1.1167011192705674,2023
5954,C29005,MO,Atchison,8002941.492589271,6899192.890678005,54.67557252,70.64249363867684,1.159982279,2025
5955,C29007,MO,Audrain,7064011.317524075,5370633.31847,45.8021284982,58.2942,1.315303223780038,2020
5956,C29007,MO,Audrain,4220275.193402081,3208594.8829909125,45.80212849822625,58.294200000000004,1.315303223780038,2021
5957,C29007,MO,Audrain,5189071.267418257,4553565.503462136,56.869998931884766,73.41999816894531,1.139562231722139,2023
5958,C29007,MO,Audrain,17528514.2139686,13222045.716519512,72.90076336,75.3498727735369,1.325703646,2025
5959,C29009,MO,Barry,12156628.845919905,9338041.20323,40.402049665,51.782198,1.3018392809955652,2020
5960,C29009,MO,Barry,12112270.250080524,9303967.41510044,40.40204966495861,51.782197999999994,1.3018392809955652,2021
5961,C29009,MO,Barry,18059889.101731542,14142088.020820208,57.86000061035156,22.690000534057617,1.2770313036620538,2023
5962,C29009,MO,Barry,35631896.80271941,29933985.401448593,54.07124682,19.942748091603054,1.190349241,2025
5963,C29011,MO,Barton,4941960.789358596,4617904.71948,37.2487189594,56.174402,1.0701738319787348,2020
5964,C29011,MO,Barton,3555404.362348891,3322268.080294024,37.24871895940087,56.174402,1.0701738319787348,2021
5965,C29011,MO,Barton,6816302.491355202,4975571.503771107,72.79000091552734,38.9900016784668,1.369953679931835,2023
5966,C29011,MO,Barton,14392293.733440433,11628291.421981938,60.30534351,33.01526717557252,1.23769634,2025
5967,C29013,MO,Bates,4982805.7706150925,3779296.22531,43.0429641309,54.709802,1.3184480584626237,2020
5968,C29013,MO,Bates,3194693.486665927,2423071.175356805,43.04296413086322,54.70980199999999,1.3184480584626237,2021
5969,C29013,MO,Bates,5121591.228640925,4015365.2342338385,59.2599983215332,43.40999984741211,1.2754982249125746,2023
5970,C29013,MO,Bates,10334152.317190602,8780766.937460067,54.67557252,42.20737913486005,1.176907711,2025
5971,C29015,MO,Benton,7061804.59493896,4349870.62981,48.6401261332,50.114198,1.6234516370541843,2020
5972,C29015,MO,Benton,6852238.58786866,4220783.93434763,48.640126133228215,50.114198,1.6234516370541843,2021
5973,C29015,MO,Benton,7434783.909342765,5797468.792014501,63.13999938964844,16.229999542236328,1.2824189618033857,2023
5974,C29015,MO,Benton,27090290.07403471,16948075.800256725,89.21755725,24.395674300254452,1.598428659,2025
5975,C29017,MO,Bollinger,5721879.793478406,5570011.21374,33.0311391407,51.680002,1.0272653992803067,2020
5976,C29017,MO,Bollinger,4325910.047671038,4211092.917859137,33.031139140717386,51.680002,1.0272653992803067,2021
5977,C29017,MO,Bollinger,6737816.826440951,5169438.14938704,50.47999954223633,29.56999969482422,1.3033944176776502,2023
5978,C29017,MO,Bollinger,9095502.81844521,9576565.38667264,25.98600509,31.170483460559794,0.949766691,2025
5979,C29019,MO,Boone,15266547.322363745,18888961.6372,27.1580607016,56.7244,0.8082258631039698,2020
5980,C29019,MO,Boone,11389109.390986253,14091493.369497832,27.158060701616083,56.7244,0.8082258631039698,2021
5981,C29019,MO,Boone,31640141.64801409,29938413.03427434,38.189998626708984,87.97000122070312,1.0568409758991422,2023
5982,C29019,MO,Boone,60811842.616399385,75106732.73515469,13.39058524,91.69847328244275,0.809672321,2025
5983,C29021,MO,Buchanan,7849973.3372778045,6951175.77105,40.6779661017,58.3214,1.129301516150848,2020
5984,C29021,MO,Buchanan,5998291.985070172,5311506.182613627,40.67796610169491,58.3214,1.129301516150848,2021
5985,C29021,MO,Buchanan,11713186.05049983,10008459.523352062,76.0999984741211,89.5,1.1703285628692652,2023
5986,C29021,MO,Buchanan,34501480.56138683,35071275.93598055,32.44274809,89.85368956743002,0.983753218,2025
5987,C29023,MO,Butler,21792439.830219515,14441716.2452,47.6152936539,53.759598,1.5089923842993853,2020
5988,C29023,MO,Butler,19099994.327751487,12657449.120672325,47.61529365392195,53.759598000000004,1.5089923842993853,2021
5989,C29023,MO,Butler,32241649.3036493,23936500.040168136,84.1500015258789,25.3700008392334,1.3469658993396774,2023
5990,C29023,MO,Butler,52247716.719191946,45851388.467080586,49.23664122,28.975826972010175,1.139501299,2025
5991,C29025,MO,Caldwell,1817127.9417387734,1686602.00341,37.1304690579,55.651998,1.0773898869234555,2020
5992,C29025,MO,Caldwell,1066816.726009583,990186.3187670485,37.13046905794245,55.651998000000006,1.0773898869234555,2021
5993,C29025,MO,Caldwell,1510165.4515493675,1263282.5783428238,33.38999938964844,57.70000076293945,1.195429650846927,2023
5994,C29025,MO,Caldwell,6147353.955291889,4942932.2524288185,63.23155216,59.09669211195929,1.243665428,2025
5995,C29027,MO,Callaway,6982977.952850786,8082364.84417,29.4442254631,56.5592,0.8639770769427431,2020
5996,C29027,MO,Callaway,4363046.091359704,5049955.846975381,29.44422546314545,56.5592,0.8639770769427431,2021
5997,C29027,MO,Callaway,8709584.279817114,8473160.672840476,23.6200008392334,75.6500015258789,1.0279026464981904,2023
5998,C29027,MO,Callaway,24633908.797259156,22406552.466846995,46.85114504,69.8791348600509,1.099406472,2025
5999,C29029,MO,Camden,11515150.738947269,7137009.57815,50.2562081198,52.392402,1.6134419623312506,2020
6000,C29029,MO,Camden,10414012.611178916,6454531.897838944,50.25620811982656,52.392402000000004,1.6134419623312506,2021
6001,C29029,MO,Camden,13446434.196868813,12589103.487427019,32.619998931884766,29.149999618530273,1.0681010137296931,2023
6002,C29029,MO,Camden,77394078.42403339,61726303.41387776,62.56361323,39.281170483460556,1.253826556,2025
6003,C29031,MO,Cape Girardeau,21075157.52996549,19439491.2006,38.6283011431,57.567602,1.0841414166907315,2020
6004,C29031,MO,Cape Girardeau,16989042.74543317,15670504.31233508,38.62830114308238,57.567602,1.0841414166907315,2021
