,nri_id,stateabbrv,county,risk_val_2025,eal_valt_2025,sovi_score_2025,resl_score_2025,crf_value_2025,risk_val_2023,eal_valt_2023,sovi_score_2023,resl_score_2023,crf_value_2023,risk_val_2021,eal_valt_2021,sovi_score_2021,resl_score_2021,crf_value_2021,risk_val_2020,eal_valt_2020,sovi_score_2020,resl_score_2020,crf_value_2020
3039,C54073,WV,Pleasants,7665761.141469324,5611058.45333951,76.30407125,67.30279898218829,1.366188074,663387.35727836,541545.4125280485,35.33000183105469,61.68000030517578,1.224989339641024,995701.9695565158,1020501.773857756,32.558139534883715,54.145398,0.9756984211722722,4182544.635626018,4286718.66723,32.5581395349,54.145398,0.9756984211722722
3040,C54075,WV,Pocahontas,9523790.986468883,6776494.127110694,76.52671756,36.19592875318066,1.405415663,662411.3775156083,578177.6656337687,53.150001525878906,24.6299991607666,1.1456882838763878,593512.2228791597,417403.39213640796,44.14662987780844,52.6198,1.4219151881861065,1920264.584581882,1350477.5816,44.1466298778,52.6198,1.4219151881861065
3041,C54077,WV,Preston,11320311.37852915,9143962.84438455,60.71882952,37.213740458015266,1.238009337,1757063.9025644835,1627144.8409245831,44.04999923706055,35.93000030517578,1.0798448044527353,897256.3809070953,910564.5188678496,32.04572329523059,52.565999999999995,0.9853847391535736,1842943.692149258,1870278.29732,32.0457232952,52.566,0.9853847391535736
3042,C54079,WV,Putnam,34130277.30568731,33790019.11187486,34.44656489,58.93765903307888,1.010069784,3156284.6411899226,3110204.7511779163,8.34000015258789,61.36000061035156,1.014815709478469,1519570.6767567426,2029764.9189608875,24.08356326369728,55.428200000000004,0.7486436791580119,2449463.6769439536,3271868.50719,24.0835632637,55.4282,0.7486436791580119
3043,C54081,WV,Raleigh,25993147.06858936,19984036.332361918,67.27099237,38.45419847328244,1.300695547,7751526.085688424,6071290.877343543,71.83000183105469,33.31999969482422,1.2767508989916916,5264016.401713349,4450633.535283696,38.785967678360265,53.517999999999994,1.1827566480100693,8295035.571052401,7013307.07801,38.7859676784,53.518,1.1827566480100693
3044,C54083,WV,Randolph,20134841.58571655,18737320.62544746,42.23918575,43.38422391857507,1.074584888,1868429.8096953374,1567836.1928049615,48.65999984741211,33.9900016784668,1.191725142122529,1333270.5378279702,1010436.510820017,41.42688214426487,52.638998,1.3194995663269908,2204954.131339568,1671053.32022,41.4268821443,52.638998,1.3194995663269908
3045,C54085,WV,Ritchie,6515404.043836935,5944876.70000606,45.70610687,58.269720101781175,1.095969584,688226.0218713807,625591.5191812076,23.770000457763672,39.470001220703125,1.100120447240319,646516.3227999824,473296.3157125332,42.21521482065432,52.230802000000004,1.3659863838717436,1728212.5258236895,1265175.51436,42.2152148207,52.230802,1.3659863838717436
3046,C54087,WV,Roane,14849369.547747431,9886976.749461794,82.79262087,23.282442748091604,1.501912053,2541778.7973590367,1998059.1687020236,52.290000915527344,17.0,1.2721238876075045,2029544.2425194054,1435610.6082717997,42.05754828537643,50.45,1.413714994041865,4418045.431866837,3125131.62164,42.0575482854,50.45,1.413714994041865
3047,C54089,WV,Summers,13093063.837890912,8157584.996257355,88.89949109,19.21119592875318,1.605017152,998410.5139920746,790054.0039720002,71.98999786376953,19.190000534057617,1.2637243896905288,1094617.7568237847,709055.885979071,46.47221127315728,51.196999999999996,1.543767957461246,2462481.367982771,1595111.07617,46.4722112732,51.197,1.543767957461246
3048,C54091,WV,Taylor,8451367.598897986,7752247.521193653,44.7519084,53.0852417302799,1.090182889,882215.6014049475,792315.6446754568,35.38999938964844,50.290000915527344,1.113464825961268,704929.4007344609,654450.8239340679,35.59322033898306,53.35579799999999,1.0771311990975176,1891356.3583777626,1755920.133,35.593220339,53.355798,1.0771311990975176
3049,C54093,WV,Tucker,5657679.640699571,4527295.452901037,63.93129771,60.81424936386769,1.249682001,581461.545895001,516069.7592332948,22.5,53.060001373291016,1.1267111383524124,460198.92425171443,346728.3219499073,42.45171462357115,53.618998,1.327260841178704,954850.6294434658,719414.45104,42.4517146236,53.618998,1.327260841178704
