target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips,target_zhvi_t0,baseline_mean_zhvi_t0
34037,2024,7,1,34031,301310.0799375053,421636.338468513
53065,2023,9,2,"53051,53063",204343.54959877147,246150.77185540035
22111,2022,7,1,22067,94721.31112570096,50703.036620497085
49015,2020,7,1,49007,,93782.76566985447
01077,2022,3,1,28141,118234.74902205216,116098.96703415293
51153,2020,7,1,51685,310177.01412358717,251567.3931558183
21211,2020,7,1,21005,157959.48530968602,98363.11506986614
16001,2025,7,2,"16027,16045",403904.9365800028,325974.72887920926
21151,2025,9,4,"21109,21049,21065,21203",193760.62831287933,104359.26940338091
08055,2024,9,3,"08109,08003,08023",151461.8657877063,146480.62048151277
12123,2025,6,1,12067,95038.99366031717,133324.62153153503
27051,2023,5,1,27041,107647.68855091395,181001.4923105119
42099,2022,5,1,42043,165177.30966431624,135599.00396782145
51650,2021,2,1,51735,139228.95848424602,251922.82451758397
30037,2022,7,1,30027,146492.49334600812,153336.640597448
01005,2021,5,1,13259,82821.92348675079,38785.820054795506
22111,2025,8,1,05003,80175.26618589649,38617.693911859446
41039,2024,9,2,"41019,41035",350144.2741852834,212766.00018285547
21035,2023,4,1,47079,96822.65708432197,98245.89065720983
08027,2020,7,1,08109,155229.2499950831,89500.15962240264
13279,2020,4,1,13283,59408.00677119515,51423.987525780416
46115,2021,10,1,46005,53932.50970766403,88596.67773748667
44009,2022,9,1,44005,375655.36105141294,423743.515812776
13311,2021,3,1,13281,115026.00096873462,183248.2635814965
05139,2023,7,2,"05011,05003",63399.88511404407,51006.79959007079
39093,2022,4,1,39005,123914.55575594417,116587.22469431369
28067,2024,7,1,28111,80531.62128961932,90609.10783814464
08009,2021,6,1,08011,,72110.93302525005
45003,2021,7,1,45011,127304.81366717353,85429.29972859284
39171,2023,6,1,26059,97600.66773787468,104369.29636226386
01053,2023,4,1,01035,70948.32901859705,70688.42752722728
27013,2024,8,2,"27079,27091",186440.48645720375,155794.99191999497
54079,2020,1,1,54035,98695.12092165332,78068.68293079866
35049,2022,7,1,35028,359688.99237732176,352612.4989292368
12097,2024,6,1,12055,301837.35374599794,151363.86599109913
48371,2023,10,1,48243,87950.92485996593,147416.76758744483
22097,2021,3,1,22077,80140.35294452107,97457.04970595877
21185,2020,5,1,21223,206144.99511217664,86142.3126877555
51199,2020,9,1,51735,235412.16414652904,239190.9768201645
13217,2022,6,2,"13247,13159",224487.43455675492,196747.8439585968
05135,2021,6,1,05065,77525.3326328112,78399.86773913534
17077,2025,9,2,"29157,17199",59393.618856576126,103909.9071665073
48503,2024,2,1,48237,86711.69101180286,94318.73659951217
47001,2025,4,1,47173,198727.47150565463,169916.96738854243
13239,2022,6,1,13259,56742.03534623969,41657.825572483176
06023,2020,4,3,"06015,06093,06045",286212.0215910026,218528.82815097654
41051,2021,11,2,"53059,41027",374816.339429226,376781.85416660435
13091,2024,6,3,"13315,13175,13271",83744.01543495532,76062.28942462911
39167,2023,8,1,39115,91458.28989420149,73570.56971165299
16027,2021,6,1,16075,309877.37377848243,243447.69116215067
51089,2021,4,1,51690,67119.09967887479,39369.508819748386
32033,2023,9,3,"49027,49023,49045",104079.9880120154,295501.37459778576
37047,2025,9,1,37141,99426.29337423216,274334.6409662191
28145,2022,5,1,28139,116849.83483816274,80710.62169669765
16057,2024,9,1,16035,319765.1068582029,182740.691251964
08055,2021,8,1,08003,129297.31702323332,159497.1657887599
35061,2020,6,1,35006,129385.96631410246,58078.01117229886
32023,2025,9,2,"32033,32015",217540.29987805503,116321.83796193678
29093,2021,9,1,29179,69738.37416805158,72959.14210843442
39019,2024,3,1,39151,91101.30029358636,104223.39989542514
51003,2021,8,1,51540,272694.97426007275,276033.5519996421
37017,2025,8,1,37141,74519.94701670085,275984.72359469946
08059,2022,8,3,"08019,08047,08093",494158.039699734,359821.00096431817
51005,2024,5,1,51580,97111.25867238925,51974.46319270516
18071,2025,7,1,18143,151232.87345549988,130561.41036207836
37131,2022,6,1,37185,49522.024350234744,117463.42951890126
06077,2021,10,1,06013,365128.1099419386,559715.0272706244
06025,2024,8,1,04027,253568.85610185465,210364.78452002633
08099,2021,7,1,08011,82823.43454585246,73226.9170496788
55133,2020,7,1,55055,243700.4392691667,160491.645507072
26085,2020,11,3,"26101,26165,26133",,97142.26660548036
19083,2023,3,1,19079,64056.57960922024,73331.55468590149
55105,2020,8,1,55055,110824.43193245953,161067.6291445028
17135,2023,4,2,"17051,17173",53058.79635635936,77473.60349418968
22105,2021,9,2,"28113,28005",158446.75296503815,82238.33695220006
54063,2023,2,2,"54089,51045",92588.46546225093,90227.94441634663
21181,2023,8,1,21201,98036.95185005956,97041.82183012208
19193,2024,7,2,"19093,31173",124969.46242456126,73260.1368051105
39089,2025,7,1,39083,207004.82918437864,166764.1804042119
55029,2022,6,1,26019,187960.99989013397,213394.0458221075
48133,2024,11,1,48093,61468.92153807813,100483.86085582554
04013,2021,10,2,"04012,04027",319153.5981610028,140069.06032452395
54107,2025,6,1,54073,102419.99013626984,99628.92607589888
56007,2025,7,1,08107,113465.411152149,577190.3896204851
19039,2025,6,2,"19185,19117",107518.7353524836,69507.47313542828
27059,2021,9,2,"27115,27025",213686.14843377995,172009.04099052324
13161,2023,7,4,"13309,13279,13271,13209",68697.62162005801,66860.1728468229
47161,2023,7,1,47079,124335.10175272782,101118.10540040552
17167,2024,5,1,17017,85745.19504503997,60801.39667290769
53065,2020,6,1,53019,141357.90579387185,143629.91912609068
55053,2023,10,2,"55035,55141",112196.41459314535,160820.73665657532
53007,2022,6,4,"53057,53061,53037,53033",378467.0142227445,465982.8550538991
26037,2023,8,1,26155,176481.97929904354,113939.66385688644
29131,2024,11,1,29151,150975.54584037047,147543.03280169106
40113,2023,5,1,40103,94689.26545022977,63590.34407958402
18077,2020,3,1,21223,91074.65041778672,83949.22924599366
39091,2021,4,1,39021,117650.16868914086,116189.50152560975
49027,2022,6,1,49039,202851.5018219337,237088.4306947582
47177,2022,9,1,47175,141720.01587917205,116969.81579987968
30013,2021,7,2,"30059,30045",162507.78677863147,134323.0406745677
20143,2025,9,1,20123,73313.69588932971,71924.09451335325
39117,2021,5,1,39083,139366.5260585395,122536.7484843682
05089,2025,8,1,05129,132309.60931129722,95372.83389351863
48497,2024,3,1,48237,246000.86572047928,96883.37815503796
13291,2025,6,1,13281,236646.84539339252,237552.45041618985
48485,2021,7,1,40033,76371.41026257657,40442.77891986777
01085,2022,10,1,01013,80400.72379697024,57148.79964019855
17117,2020,7,1,17083,59851.71789008246,78767.15319178563
53059,2021,1,4,"53039,41027,53077,53011",289949.89757193456,279953.5675125378
35007,2023,4,2,"35055,08023",110400.6942942816,213271.39719825285
18095,2021,12,1,18159,79916.79703005117,112402.54567538603
13267,2024,6,1,13279,100663.16708891634,79306.978057454
18057,2025,8,1,18023,324254.9203280452,146787.43951476886
51005,2021,4,1,51580,77438.96556782267,35934.30454464496
06001,2021,12,3,"06013,06075,06085",718076.1067399406,829829.3877216534
16039,2020,4,2,"16083,16025",155268.28404346158,151480.76211311627
21191,2025,4,2,"21097,21081",136798.6630873254,182747.6651840945
