target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips,target_zhvi_t0,baseline_mean_zhvi_t0
54015,2024,2,1,54067,201401.98625791757,235506.54666400995
16083,2023,5,2,"16047,16053",552372.3939601158,613612.8161143435
27007,2021,9,2,"27135,27029",337996.99749738845,341625.73667497124
28145,2021,4,1,28009,245606.43870520729,238669.47359481544
40047,2024,11,1,40003,264323.987309241,291393.2030629196
41051,2021,11,2,"53059,41027",746186.651831328,854789.5846564721
48109,2023,2,1,48243,310509.54148783913,436785.21306199353
19147,2024,7,1,19151,283059.57902582013,239723.25582276136
48225,2021,5,1,48455,425459.624476946,312274.99292833667
13157,2025,5,1,13219,549512.1524660183,798281.5009401081
08101,2020,6,1,08025,314105.72329041566,216363.0935313621
48017,2025,4,1,35009,283504.8867951824,261215.17631049085
42017,2025,5,1,34021,767303.4121061065,802032.106849278
13033,2023,4,2,"13107,13163",308546.21935639734,242407.06905568132
18035,2023,6,1,18009,250185.039404716,221487.13252491632
36087,2024,7,1,34031,971472.0219440784,706848.9160426515
26063,2022,8,1,26069,328557.6185737155,254612.06906605663
55073,2023,5,4,"55069,55097,55135,55141",341268.9362896995,364058.9315131554
21141,2024,6,2,"21219,21213",345401.69888638955,399536.66708387993
28109,2023,4,3,"28035,28073,28091",284686.5046861551,306301.8271146108
13123,2022,6,1,13111,652493.0012968275,954592.6511222176
55029,2020,7,2,"26019,26089",487161.9867174267,619124.9621371764
40107,2022,5,1,40133,302608.34520052193,232937.61859060577
20187,2025,3,1,08099,328259.90711602365,305187.3529547227
41031,2022,7,3,"41013,41065,41047",678428.739101518,711108.176554086
16019,2020,6,2,"16029,16065",397716.0316258603,375901.8246498634
48099,2020,5,1,48193,275160.92488903506,463700.6931892601
17091,2024,5,1,18111,313766.24210607953,339746.8936299529
19131,2023,5,1,19195,378763.73190486635,279413.49468234833
48001,2025,5,1,48225,418847.6529652206,436977.27688033384
48057,2020,4,1,48321,300013.06462765374,288262.7444611089
17143,2023,5,1,17175,254071.3202079193,312997.8503914431
56039,2021,8,1,16081,4291571.044297452,1221023.729722186
28105,2025,6,1,28019,417818.6269674652,248137.99072188747
26037,2023,8,1,26155,416498.9534150147,293039.54417883634
48227,2022,8,1,48115,291557.1435711595,218052.04332709673
48451,2023,9,1,48431,368204.8008309694,355770.9985862497
49049,2020,6,1,49007,544200.312752315,256834.9258192616
31129,2022,4,1,20089,364220.604788932,278617.1941486204
21059,2021,6,1,21091,273497.8296706277,270709.47267206013
38103,2023,4,2,"38027,38083",305644.9953988507,307618.62583504815
18071,2025,4,1,18143,339694.49090839986,296202.55551981437
37193,2025,5,1,37005,363637.5381926706,471432.51609972265
16019,2023,7,1,56039,545557.4047132316,5329372.660540266
22125,2024,12,1,22029,592897.1448384523,248034.0666551813
17189,2025,4,1,17081,271766.99285800016,229696.0904233961
30053,2023,5,1,16017,649518.3875339866,992587.5462765387
39153,2021,5,2,"39103,39055",309742.7366315618,416429.39971772034
46023,2020,8,1,31107,386957.55635069794,368650.7518415181
54107,2024,8,1,54073,269112.1730294597,259879.096034094
06089,2020,11,2,"06063,06049",442322.8002423286,417538.5243149495
20013,2020,3,2,"31147,20043",199445.9252332044,216969.44919888896
39157,2024,4,1,39151,315228.48421378684,315270.6232751914
48049,2020,5,1,48333,298841.7403358993,750456.613969387
32510,2024,9,1,32029,694512.8569620956,725181.2581413724
22119,2020,11,1,22027,250082.98870102956,277208.94518996385
05001,2023,1,1,05107,267023.27378117834,139242.1117021672
23011,2024,7,1,23023,447096.8340804053,648115.7548119064
27005,2024,7,2,"27029,27087",581665.4027387141,359541.906483317
39089,2023,2,1,39083,452744.2467523262,397308.23082767025
12097,2020,9,1,12055,353867.13183887146,235299.54473498315
51165,2024,7,1,51660,526677.4117738601,455813.2992081998
04001,2024,6,5,"35006,04009,35003,35031,04011",506442.7689245396,330256.6834568319
30029,2020,6,2,"30089,30077",629871.3138471019,384473.16457457945
38077,2023,4,1,38081,357188.280868879,402952.2747340626
51195,2024,9,1,21133,225094.1372868078,168557.5870268729
48123,2023,1,1,48175,513211.4341214346,525181.6089766253
38043,2024,8,2,"38093,38083",385000.1544489577,336189.05034665635
35017,2022,6,2,"35023,04011",351631.8707793946,298633.30775275175
13257,2023,8,1,13011,380262.07652210025,492573.16939633526
51173,2021,7,1,51021,198437.2110753559,309312.523532227
54081,2023,6,2,"54109,54089",247423.09285030412,185454.81165579578
06073,2021,10,1,06025,1274534.5020269556,399964.0373057655
32001,2023,9,1,32019,472930.17355155264,489274.9622471086
